fact_id,project_code,nhom,Phong_Nhom,sort_colum,phan_nhom,hang_muc,hien_trang,dieu_chinh,ngay_hoan_thanh,chi_tiet,ghi_chu,van_ban_phe_duyet,kho_khan_vuong_mac,huong_xu_ly,gia_tri_1,gia_tri_2,gia_tri_3,source_sheet,source_row,raw_data
DN.KDT.AQ91|HRC|2,DN.KDT.AQ91,9.1 HRC,9.1 HRC - NHÂN SỰ,1,Nhân sự,Nhân sự,,,,,,,,,101,84,17,HRC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Tổng nhân sự theo định biên"": ""101"", ""Đang làm việc"": ""84"", ""Sẽ tuyển dụng"": ""17""}"
DN.KDT.AQ91|HDV|2,DN.KDT.AQ91,9.2 FAC,9.2 FAC,2,HDV,Thông báo tín dụng,,,,,,,,,Đã có thông báo tín dụng - HĐ vay : 19/12/2025,,,HDV,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Đã có thông báo tín dụng"": ""Đã có thông báo tín dụng - HĐ vay : 19/12/2025""}"
DN.KDT.AQ91|FS|2,DN.KDT.AQ91,9.2 FAC,9.2 FAC,2,FS,Version 02,Đã phê duyệt: 09/06/2025,,,,,,,,,,,FS,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Phiên bản"": ""Version 02"", ""Hiện trạng FS"": ""Đã phê duyệt: 09/06/2025""}"
DN.KDT.AQ91|FS|3,DN.KDT.AQ91,9.2 FAC,9.2 FAC,2,FS,Version 03,Đang điều chỉnh,,2026-07-30T00:00:00,,,,,,,,,FS,3,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Phiên bản"": ""Version 03"", ""Hiện trạng FS"": ""Đang điều chỉnh"", ""Ngày hoàn thành"": ""2026-07-30T00:00:00""}"
DN.KDT.AQ91|SAC|2,DN.KDT.AQ91,9.3 SAC,9.3 SAC - BÁN HÀNG,3,Bán hàng,Bán hàng,,,Quý 1/2027,,,,,,Đã bán:2162/ 2586 Đã ký HĐMB: 802,424,,SAC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Đã bán (SL ký HĐMB/Tổng số)"": ""Đã bán:2162/ 2586 Đã ký HĐMB: 802"", ""Chưa bán"": ""424"", ""Dự kiến bán"": ""Quý 1/2027""}"
DN.KDT.AQ91|MAC|2,DN.KDT.AQ91,9.4 MAC,9.4 MAC - SALE KIT / SỰ KIỆN,4,Sale kit / Sự kiện,Sale kit / Sự kiện,,,T8/2026,,,,,,,Mở bán năm 2026,,MAC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Sự kiện"": ""Mở bán năm 2026"", ""Ngày tổ chức"": ""T8/2026""}"
DN.KDT.AQ91|PTC|2,DN.KDT.AQ91,9.5 PTC,9.5 PTC - KẾ HOẠCH CƯĐT,5,Kế hoạch cung ứng đấu thầu,Version 1,Đã duyệt,,26/3/2026,,,,,,,,,PTC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Phiên bản"": ""Version 1"", ""Hiện trạng KH CUĐT"": ""Đã duyệt"", ""Ngày hoàn thành"": ""26/3/2026""}"
DN.KDT.AQ91|QSB|2,DN.KDT.AQ91,9.6 QSB,9.6 QSB - NGÂN SÁCH,6,Ngân sách,Khái toán,Hoàn thành,,,,,,,,,,,QSB,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Hạng mục"": ""Khái toán"", ""Hiện trạng ngân sách"": ""Hoàn thành""}"
DN.KDT.AQ91|QSB|3,DN.KDT.AQ91,9.6 QSB,9.6 QSB - NGÂN SÁCH,6,Ngân sách,Dự toán,,,,,,,,,,,,QSB,3,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Hạng mục"": ""Dự toán""}"
DN.KDT.AQ91|QSB|4,DN.KDT.AQ91,9.6 QSB,9.6 QSB - NGÂN SÁCH,6,Ngân sách,Thực thi,Đã duyệt Version 4,,2025-07-13T00:00:00,,,,,,,,,QSB,4,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Hạng mục"": ""Thực thi"", ""Hiện trạng ngân sách"": ""Đã duyệt Version 4"", ""Ngày hoàn thành"": ""2025-07-13T00:00:00""}"
DN.KDT.AQ91|SEC|2,DN.KDT.AQ91,9.7 SEC,9.7 SEC - AN NINH,7,An ninh,Phương án an ninh,,,T1/2026,,,,,,Đã có Phương án An ninh,,,SEC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Đã có PA An ninh"": ""Đã có Phương án An ninh"", ""Ngày hoàn thành"": ""T1/2026""}"
DN.KDT.AQ91|IDD|2,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế quy hoạch,Không thực hiện,,,,,,,,,,,IDD,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế quy hoạch"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|3,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế ý tưởng kiến trúc,Đang thực hiện cho NOXH,,2026-08-24T00:00:00,,,,,,,,,IDD,3,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế ý tưởng kiến trúc"", ""Hiện trạng hồ sơ"": ""Đang thực hiện cho NOXH"", ""Ngày hoàn thành"": ""2026-08-24T00:00:00""}"
DN.KDT.AQ91|IDD|4,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế nội thất,Không thực hiện,,,,,,,,,,,IDD,4,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế nội thất"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|5,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế cảnh quan,Không thực hiện,,,,,,,,,,,IDD,5,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế cảnh quan"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|6,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Triển khai thiết kế BIM,Không thực hiện,,,,,,,,,,,IDD,6,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Triển khai thiết kế BIM"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|7,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Sa bàn ảo và Đồ họa số,Không thực hiện,,,,,,,,,,,IDD,7,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Sa bàn ảo và Đồ họa số"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|8,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế khách sạn,Không thực hiện,,,,,,,,,,,IDD,8,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế khách sạn"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|IDD|9,DN.KDT.AQ91,9.8 IDD,9.8 IDD - THIẾT KẾ NỘI BỘ,8,Thiết kế nội bộ,Thiết kế công viên vui chơi giải trí,Không thực hiện,,,,,,,,,,,IDD,9,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Mục"": ""Thiết kế công viên vui chơi giải trí"", ""Hiện trạng hồ sơ"": ""Không thực hiện""}"
DN.KDT.AQ91|CSC|2,DN.KDT.AQ91,9.9 CSC,"9.9 CSC - BỒI THƯỜNG, GPMB",9,"Bồi thường, giải phóng mặt bằng",Bồi thường / GPMB,,,2026-07-30T00:00:00,,,,,,Thực hiện GPMB,Không thực hiện Bồi thường,,CSC,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Có thực hiện BT/GPMB"": ""Thực hiện GPMB"", ""Không thực hiện BT/GPMB"": ""Không thực hiện Bồi thường"", ""Ngày hoàn thành"": ""2026-07-30T00:00:00""}"
DN.KDT.AQ91|PMD|2,DN.KDT.AQ91,4.0 PMD,4.0 PMD,10,Master Timeline,Version 08,Đã duyệt,,2026-01-21T00:00:00,,,,,,,,,PMD,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Phiên bản"": ""Version 08"", ""Hiện trạng MTL"": ""Đã duyệt"", ""Ngày hoàn thành"": ""2026-01-21T00:00:00""}"
DN.KDT.AQ91|PMD|3,DN.KDT.AQ91,4.0 PMD,4.0 PMD,10,Master Timeline,Version 09,Đang cập nhật,,2026-07-21T00:00:00,,,,,,,,,PMD,3,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Phiên bản"": ""Version 09"", ""Hiện trạng MTL"": ""Đang cập nhật"", ""Ngày hoàn thành"": ""2026-07-21T00:00:00""}"
DN.KDT.AQ91|PLP|2,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Chung,Làm việc với Thanh tra,,,,,,,,,,,,PLP,2,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Chung"", ""Hạng mục"": ""Làm việc với Thanh tra""}"
DN.KDT.AQ91|PLP|3,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Đầu tư,Chấp thuận chủ trương đầu tư,Hoàn thành,,2025-08-29T00:00:00,,,- Quyết định số 2023/QĐ-UBND ngày 16/6/2020; - Quyết định số 310/QĐ-UBND ngày 02/02/2024; - Quyết định số 1025/QĐ-UBND ngày 29/08/2025,,,,,,PLP,3,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Đầu tư"", ""Hạng mục"": ""Chấp thuận chủ trương đầu tư"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Quyết định số 2023/QĐ-UBND ngày 16/6/2020; - Quyết định số 310/QĐ-UBND ngày 02/02/2024; - Quyết định số 1025/QĐ-UBND ngày 29/08/2025"", ""Ngày hoàn thành"": ""2025-08-29T00:00:00""}"
DN.KDT.AQ91|PLP|4,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Quy hoạch,Phê duyệt QH 1/2000,Hoàn thành,,2025-05-29T00:00:00,,,- Quyết định số 2916/QĐ-UBND ngày 12/09/2016. - Quyết định số 1746/QĐ-UBND ngày 29/05/2025,,,,,,PLP,4,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Quy hoạch"", ""Hạng mục"": ""Phê duyệt QH 1/2000"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Quyết định số 2916/QĐ-UBND ngày 12/09/2016. - Quyết định số 1746/QĐ-UBND ngày 29/05/2025"", ""Ngày hoàn thành"": ""2025-05-29T00:00:00""}"
DN.KDT.AQ91|PLP|5,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Quy hoạch,Phê duyệt QH 1/500,Hoàn thành,,2025-06-16T00:00:00,,,- Quyết định số 309/QĐ-UBND ngày 27/01/2014; - Quyết định số 2559/QĐ-UBND ngày 16/8/2019; - Quyết định số 3782/QĐ-UBND ngày 16/06/2025,,,,,,PLP,5,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Quy hoạch"", ""Hạng mục"": ""Phê duyệt QH 1/500"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Quyết định số 309/QĐ-UBND ngày 27/01/2014; - Quyết định số 2559/QĐ-UBND ngày 16/8/2019; - Quyết định số 3782/QĐ-UBND ngày 16/06/2025"", ""Ngày hoàn thành"": ""2025-06-16T00:00:00""}"
DN.KDT.AQ91|PLP|6,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Đất đai,Quyết định giao đất,Hoàn thành,,2026-02-11T00:00:00,,,- Quyết định số 3587/QĐ-UBND ngày 02/10/2020; - Quyết định số 617/QĐ-UBND ngày 11/2/2026,,,,,,PLP,6,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Đất đai"", ""Hạng mục"": ""Quyết định giao đất"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Quyết định số 3587/QĐ-UBND ngày 02/10/2020; - Quyết định số 617/QĐ-UBND ngày 11/2/2026"", ""Ngày hoàn thành"": ""2026-02-11T00:00:00""}"
DN.KDT.AQ91|PLP|7,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Đất đai,Quyết định cho thuê đất,Hoàn thành,,2020-11-06T00:00:00,,,- Hợp đồng thuê đất số 114-HĐTĐ ngày 6/11/2020,,,,,,PLP,7,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Đất đai"", ""Hạng mục"": ""Quyết định cho thuê đất"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Hợp đồng thuê đất số 114-HĐTĐ ngày 6/11/2020"", ""Ngày hoàn thành"": ""2020-11-06T00:00:00""}"
DN.KDT.AQ91|PLP|8,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Đất đai,Hoàn thành nghĩa vụ tài chính,Đang thực hiện,,2026-08-15T00:00:00,,,Liệt kê số văn bản,Phải điều chỉnh chứng thư nhiều lần. Đã thống nhất phương pháp lập chứng thư giữa tư vấn và Sở NN&MT,PLP đeo bám sở nhành thúc đẩy HS. Lộ trình dự kiến: - SNNMT trình họp Tổ giúp việc Sở Tài chính: 07/7/2026 - Họp Tổ giúp việc Sở Tài chính: 15/7/2026 - Sở Tài chính trình họp HĐTĐG: 22/7/2026 - SNNMT trình UBTP duyệt giá: 30/7/2026,,,,PLP,8,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Đất đai"", ""Hạng mục"": ""Hoàn thành nghĩa vụ tài chính"", ""Trạng thái"": ""Đang thực hiện"", ""Văn bản phê duyệt"": ""Liệt kê số văn bản"", ""Khó khăn/Vướng mắc"": ""Phải điều chỉnh chứng thư nhiều lần. Đã thống nhất phương pháp lập chứng thư giữa tư vấn và Sở NN&MT"", ""Hướng xử lý"": ""PLP đeo bám sở nhành thúc đẩy HS. Lộ trình dự kiến: - SNNMT trình họp Tổ giúp việc Sở Tài chính: 07/7/2026 - Họp Tổ giúp việc Sở Tài chính: 15/7/2026 - Sở Tài chính trình họp HĐTĐG: 22/7/2026 - SNNMT trình UBTP duyệt giá: 30/7/2026"", ""Ngày hoàn thành"": ""2026-08-15T00:00:00""}"
DN.KDT.AQ91|PLP|9,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Đất đai,Giấy chứng nhận QSDĐ,Hoàn thành,,,,,Liệt kê số văn bản,,,,,,PLP,9,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Đất đai"", ""Hạng mục"": ""Giấy chứng nhận QSDĐ"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""Liệt kê số văn bản""}"
DN.KDT.AQ91|PLP|10,DN.KDT.AQ91,4.1 PLP,4.1 PLP,11,Pháp lý - Xây dựng,Thông báo thẩm định BCNCKT,Hoàn thành,,2026-04-08T00:00:00,,,- Văn bản số 3022/SXD-QLXD ngày 18/06/2020 - Văn bản số 3939/SXD-QLXD ngày 05/08/2020 - Văn bản số 6197/SXD-QLXD ngày 18/11/2020 - Văn bản số 1012/SXD-QLXD ngày 22/3/2021 - Văn bản số 2227/SoXD-QLHĐ&VLXD ngày 04/06/2025 - Văn bản số 6862/SoXD-QLHĐ&VLXD ngày 23/12/2025 - Văn bản số 3569/SXD-QLHĐ&VLXD ngày 08/4/2026,,,,,,PLP,10,"{""Mã dự án"": ""DN.KDT.AQ91"", ""Nhóm"": ""Xây dựng"", ""Hạng mục"": ""Thông báo thẩm định BCNCKT"", ""Trạng thái"": ""Hoàn thành"", ""Văn bản phê duyệt"": ""- Văn bản số 3022/SXD-QLXD ngày 18/06/2020 - Văn bản số 3939/SXD-QLXD ngày 05/08/2020 - Văn bản số 6197/SXD-QLXD ngày 18/11/2020 - Văn bản số 1012/SXD-QLXD ngày 22/3/2021 - Văn bản số 2227/SoXD-QLHĐ&VLXD ngày 04/06/2025 - Văn bản số 6862/SoXD-QLHĐ&VLXD ngày 23/12/2025 - Văn bản số 3569/SXD-QLHĐ&VLXD ngày 08/4/2026"", ""Ngày hoàn thành"": ""2026-04-08T00:00:00""}"
